changuito_time_to_show,time_to_think,time_to_play,total_items,nback_stimulus_time,nback_training,time_to_show_tiny_stimulus,colourtest,corresp,inmediato,consciente,inconsciente,nback_slice,imagen,correcta,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,nback_train.thisRepN,nback_train.thisTrialN,nback_train.thisN,nback_train.thisIndex,treatment_order.thisRepN,treatment_order.thisTrialN,treatment_order.thisN,treatment_order.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Presentacion.started,Presentacion.stopped,Juego.started,Juego.stopped,image_6.started,image_6.stopped,polygon.started,polygon.stopped,nback_train_resp.keys,nback_train_resp.corr,nback_train_resp.started,nback_train_resp.stopped,nback_train_resp.rt,holi.started,holi.stopped,image_3.started,image_3.stopped,polygon_2.started,polygon_2.stopped,nback_train_resp_2.keys,nback_train_resp_2.corr,nback_train_resp_2.started,nback_train_resp_2.stopped,nback_train_resp_2.rt,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_5.started,image_5.stopped,hola.started,hola.stopped,image_2.started,image_2.stopped,tiempo_para_pensar.started,tiempo_para_pensar.stopped,respuesta_consciente.keys,respuesta_consciente.corr,respuesta_consciente.rt,respuesta_consciente.started,respuesta_consciente.stopped,cual_es_la_mas_barata.started,cual_es_la_mas_barata.stopped,image_4.started,image_4.stopped,text.started,text.stopped,image.started,image.stopped,respuesta_inmediato.keys,respuesta_inmediato.corr,respuesta_inmediato.rt,respuesta_inmediato.started,respuesta_inmediato.stopped,pregunta_cual_es_el_mas_barato.started,pregunta_cual_es_el_mas_barato.stopped,short_stim1.started,short_stim1.stopped,gracias.started,gracias.stopped,respuesta1.keys,respuesta1.rt,respuesta1.started,respuesta1.stopped,pregunta1.started,pregunta1.stopped,respuesta3bis_3.keys,respuesta3bis_3.rt,respuesta3bis_3.started,respuesta3bis_3.stopped,pregunta3_3.started,pregunta3_3.stopped,productoCon3RANGOSabc_3.started,productoCon3RANGOSabc_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
8,14,14,999,0.5,0:10,3,White,None,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,14.319260385003872,None,34.4274163049995,None,34.4274163049995,None,72.11199145200953,72.59578326200426,None,1,72.11199145200953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Red,None,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,74.11317585900542,74.59646997001255,None,1,74.11317585900542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Magenta,None,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11386035601026,76.59769105300074,None,1,76.11386035601026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Cyan,None,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,78.11506938100501,78.59834166101064,None,1,78.11506938100501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Magenta,['space'],,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,80.11572785100725,80.59958877500321,None,0,80.11572785100725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Green,None,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,82.11697119900782,82.60023471301247,None,1,82.11697119900782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,White,None,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,84.11762547001126,84.6015673350048,None,1,84.11762547001126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Green,['space'],,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1188790090091,86.60213667000062,['return'],0,86.1188790090091,None,[1.1643102809903212],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Blue,None,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,88.11952433800616,88.60339259500324,None,1,88.11952433800616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
8,14,14,999,0.5,0:10,3,Green,['space'],,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,90.12082773901056,90.60402704800072,None,0,90.12082773901056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feliC,001,b,2019_Nov_23_0101,Experimento,3.1.5,59.97025919030526,
